Estado/Municípios,Nº do decreto,Início,Fim,Classificação,Politicas
Rio de Janeiro(Estado),47358,09/04/2020,,Outros,"Altera o Decreto Rio n° 47.282, de 21 de março de 2020"
Rio de Janeiro(Estado),47359,12/04/2020,,Outros,"Altera dispositivos e acrescenta ANEXOS 1 e 2 ao Decreto Rio nº 47.282, de 21 de março de 2020"
Rio de Janeiro/RJ,47027,13/04/2020,,Medidas de Prevenção,dispõe sobre medidas de enfrentamento da propagação decorrente do novo coronavírus(covid-19)
Rio de Janeiro(Estado),47359,13/04/2020,,Flexibilização de funcionamento dos comércios,estabelece horários escalonados para comércio essencial e indústria
Rio de Janeiro(Estado),47374,14/04/2020,,Outros,Dispõe sobre a postergação do pagamento da Taxa de Licenciamento Sanitário - TLS - no ano de 2020
Rio de Janeiro(Estado),47375,18/04/2020,,Outros,Altera o Decreto Rio nº 47.282 de 21 de março de 2020
Rio de Janeiro(Estado),47381,22/04/2020,,Fechamento de feiras livres,Suspende temporariamente o funcionamento de feiras livres
Rio de Janeiro(Estado),47382,22/04/2020,,Outros,"Altera o Decreto Rio nº 47.282, de 21 de março de 2020"
Rio de Janeiro/RJ,47052,29/04/2020,,Medidas de Prevenção,dispõe sobre medidas de enfrentamento da propagação decorrente do novo coronavírus(covid-19)
Rio de Janeiro/RJ,47050,29/04/2020,,Medidas de Prevenção,Dispõe sobre a identificação de pacientes não identificados nas unidades de saúde e institui medidas transitórias de prevenção ao contágio e enfrentamento da COVID-19 na gestão dos óbitos ocorridos no estado do Rio de Janeiro
Rio de Janeiro/RJ,47060,05/05/2020,,Outros,Dispõe sobre a obrigatoriedade do uso de máscaras de proteção facial no âmbito do serviço de transporte público de passageiros de responsabilidade do estado do Rio de Janeiro
Rio de Janeiro/RJ,47059,05/05/2020,,Outros,"Dispõe sobre a suspensão temporária da exigiblidade do pagamento da taxa de vistoria e fiscalização, das multas de autos de infração e de parcelamentos, em razão da pandemia"
Rio de Janeiro/RJ,47061,05/05/2020,,Outros,Dispõe sobre a criação de comissão especial denominada comissão ciência RJ no combate ao coronavírus
Niterói/RJ,13505,14/03/2020,,Gabinete de Crise,"cria gabinete de crise para centralizar a tomada de decisões, integrar e alinhar as iniciativas do município na prevenção e assistência à população em relação à disseminação do vírus covid-19 no município de Niterói e dá outras providências"
Niterói/RJ,13507,16/03/2020,,Outros,"dispõe sobre o fechamento temporário dos equipamentos públicos municipais, regula o funcionamento da administração e dá outras providências"
Niterói/RJ,13506,16/03/2020,,Situação de Emergência,dispõe sobre a declaração de emergência de saúde pública decorrente da pandemia do coronavírus
